id	name	location	time created	tweet url	source	retweet count	likes	tweet	compound	Sentiment
187391077	Imoh	Africa	2022-08-15 20:58:09+00:00	https://twitter.com/ImohUmoren/status/1559283324786450432	Twitter for iPhone	2805	8362	Critics Peter Obi rarely say incompetent They mostly hate Igbo	-0.5181	Negative
39975533	Vanguard Newspapers	Nigeria	2022-08-15 18:59:11+00:00	https://twitter.com/vanguardngrnews/status/1559253384904966154	WordPress.com	2956	8635	Peter Obi emerges Man Year	0.0	Neutral
246103	Dr. Jeffrey Guterman	Global	2022-08-16 13:00:02+00:00	https://twitter.com/JeffreyGuterman/status/1559525389185064961	Twitter Web App	1194	5843	Peter Obi Man Year Igbere TV Leadership Excellence Awards Congratulations	0.9001	Positive
876916579589599234	Crown Oba👑	Lagos state	2022-08-17 11:26:03+00:00	https://twitter.com/them_alone/status/1559864127371333639	Twitter for Android	59	0	RT Nigerians suffering called activist preoccupied election season Peter Obi	-0.4767	Negative
1358348495950905345	Christopher Adeyinka		2022-08-17 11:26:03+00:00	https://twitter.com/Christo44244375/status/1559864125488041984	Twitter for Android	351	0	RT Immediately read understand Retweet need youth yet see light Peter Obi see th	0.0	Neutral
1455605692866482179	John Enyinwa		2022-08-17 11:26:02+00:00	https://twitter.com/JohnEnyinwa/status/1559864124074606592	Twitter for Android	43	0	RT The irony stingy man receives award philanthropic act Peter obi gem	0.1779	Positive
273296096	🅾DOGWU na 🅾🅱🅰🇳🇬 🇨🇦🈁	Calabar, Nigeria	2022-08-17 11:26:01+00:00	https://twitter.com/obi_of_oba/status/1559864121008558080	Twitter for iPhone	106	0	RT I convinced Bola Ahmed Tinubu amp team sits amp progressive Nigeria talk Mr Peter Obi li	0.4019	Positive
4611869001	A.A Stephen	Nigeria	2022-08-17 11:26:00+00:00	https://twitter.com/AbAyangbile/status/1559864115996364800	Twitter for Android	378	0	RT Halima Waziri writes By time Peter Obi win old wound East North heal forever	0.5859	Positive
1519942932236840960	Ozoaguchidinmag@gmail.com		2022-08-17 11:25:59+00:00	https://twitter.com/ozoaguchidinmag/status/1559864112468852737	Twitter for Android	939	0	RT Dear supporter got access coudocuments showing Peter Obi involved drug business	0.5719	Positive
823223079539195904	NwabuKING		2022-08-17 11:25:57+00:00	https://twitter.com/NwabuKING234/status/1559864102306152448	Twitter for Android	15	0	RT The federal government learnt Enugu state still busy recruiting thousand aide gove	0.0	Neutral
1555925993935757317	oluwatosin PO son	Akoka	2022-08-17 11:25:56+00:00	https://twitter.com/caxhy111/status/1559864097822445568	Twitter for Android	290	0	RT I hate Peoples Democratic Party Apc amp I wish I capping Peoples Democratic Party meant job opposition Apc never	0.5267	Positive
1521473421103800323	Samuel Nkechi		2022-08-17 11:25:56+00:00	https://twitter.com/SamuelNkechi2/status/1559864096912187392	Twitter for Android	153	0	RT Obidients flooded TL track record Peter Obi former governor Anambra state We also articulat	0.0	Neutral
219928678	Franklin	Lagos, Nigeria	2022-08-17 11:25:54+00:00	https://twitter.com/freakyfreon/status/1559864091036061697	Twitter for iPhone	12	0	RT When Peter Obi becomes President politician one protesting	-0.4215	Negative
823223079539195904	NwabuKING		2022-08-17 11:25:54+00:00	https://twitter.com/NwabuKING234/status/1559864089656057858	Twitter for Android	19	0	RT even single term four year Anambra publishing Statistical Yearbook Peter Obi The state payi	0.0	Neutral
1873520106	Emmanuel Monday	Abuja, Nigeria	2022-08-17 11:25:52+00:00	https://twitter.com/mondaye66/status/1559864079908585472	Twitter Web App	153	0	RT No country ever move forward kind corruption going country No country Most people yo	0.0	Neutral
321249680	Chrisegesi	Lagos, Nigeria	2022-08-15 18:59:09+00:00	https://twitter.com/EmyEgesi/status/1559253379964174341	Twitter for Android	834	0	RT Yorùbá social cultural group AFENIFERE Backs Mr Peter Obi presidential candidate ahead election becaus	-0.0516	Negative
742011000761798657	Ihuoma Oji		2022-08-15 18:59:09+00:00	https://twitter.com/nihuomaoli/status/1559253378294812672	Twitter for Android	697	0	RT El Rufai still owing worker salary Kaduna leading state come terrorism The peaceful st	-0.34	Negative
909574176700342273	Man Like Flex	Osogbo	2022-08-15 18:59:08+00:00	https://twitter.com/AyflexVinccy/status/1559253373399998469	Twitter for iPhone	7967	0	RT IMPORTANT NOTICE We call OBIdients Kaduna prepare million march Peter Obi Kaduna belongs	0.368	Positive
1254006180894121988	Rheepharht		2022-08-15 18:59:08+00:00	https://twitter.com/rheepharht/status/1559253372435324928	Twitter for Android	118	0	RT No matter Peter Obi take running mate North trust Malam Umar Dan Kano Copied	0.4983	Positive
732594102	Dαɾƙ Nαƚιʋҽ	cloud 	2022-08-15 18:59:07+00:00	https://twitter.com/thedarknative/status/1559253370841464841	Twitter for iPhone	1606	0	RT I First Lady I contesting President Federal Republic Nigeria Peter Obi I	0.0	Neutral
1001652660452380673	The OBIdient Seeker	Lagos, Nigeria	2022-08-15 18:59:06+00:00	https://twitter.com/The_Seeker76/status/1559253365338607617	Twitter for Android	636	0	RT William Ruto first run President Kenya So shall Peter Obi win first run President Nige	0.5859	Positive
